,region,number_of_cases,number_of_cases_for_10k,date
9335,Kujawsko-pomorskie,9,0.04,2022-05-26
9336,Lubelskie,7,0.03,2022-05-26
9337,Lubuskie,3,0.03,2022-05-26
9338,Łódzkie,14,0.06,2022-05-26
9339,Małopolskie,17,0.05,2022-05-26
9340,Mazowieckie,63,0.12,2022-05-26
9341,Opolskie,8,0.08,2022-05-26
9342,Podkarpackie,9,0.04,2022-05-26
9343,Podlaskie,11,0.09,2022-05-26
9344,Pomorskie,17,0.07,2022-05-26
9345,Śląskie,51,0.11,2022-05-26
9346,Świętokrzyskie,8,0.07,2022-05-26
9347,Warmińsko-mazurskie,2,0.01,2022-05-26
9348,Wielkopolskie,10,0.03,2022-05-26
9349,Zachodniopomorskie,7,0.04,2022-05-26
9350,Cały kraj,264,0.07,2022-05-27
9351,Dolnośląskie,15,0.05,2022-05-27
9352,Kujawsko-pomorskie,11,0.05,2022-05-27
9353,Lubelskie,21,0.1,2022-05-27
9354,Lubuskie,2,0.02,2022-05-27
9355,Łódzkie,9,0.04,2022-05-27
9356,Małopolskie,25,0.07,2022-05-27
9357,Mazowieckie,66,0.12,2022-05-27
9358,Opolskie,6,0.06,2022-05-27
9359,Podkarpackie,9,0.04,2022-05-27
9360,Podlaskie,13,0.11,2022-05-27
9361,Pomorskie,15,0.06,2022-05-27
9362,Śląskie,39,0.09,2022-05-27
9363,Świętokrzyskie,6,0.05,2022-05-27
9364,Warmińsko-mazurskie,6,0.04,2022-05-27
9365,Wielkopolskie,11,0.03,2022-05-27
9366,Zachodniopomorskie,6,0.04,2022-05-27
9367,Cały kraj,83,0.02,2022-05-28
9368,Dolnośląskie,5,0.02,2022-05-28
9369,Kujawsko-pomorskie,0,0.0,2022-05-28
9370,Lubelskie,4,0.02,2022-05-28
9371,Lubuskie,0,0.0,2022-05-28
9372,Łódzkie,9,0.04,2022-05-28
9373,Małopolskie,8,0.02,2022-05-28
9374,Mazowieckie,12,0.02,2022-05-28
9375,Opolskie,0,0.0,2022-05-28
9376,Podkarpackie,6,0.03,2022-05-28
9377,Podlaskie,1,0.01,2022-05-28
9378,Pomorskie,7,0.03,2022-05-28
9379,Śląskie,6,0.01,2022-05-28
9380,Świętokrzyskie,14,0.11,2022-05-28
9381,Warmińsko-mazurskie,1,0.01,2022-05-28
9382,Wielkopolskie,3,0.01,2022-05-28
9383,Zachodniopomorskie,0,0.0,2022-05-28
9384,Cały kraj,83,0.02,2022-05-29
9385,Dolnośląskie,2,0.01,2022-05-29
9386,Kujawsko-pomorskie,0,0.0,2022-05-29
9387,Lubelskie,7,0.03,2022-05-29
9388,Lubuskie,0,0.0,2022-05-29
9389,Łódzkie,3,0.01,2022-05-29
9390,Małopolskie,6,0.02,2022-05-29
9391,Mazowieckie,15,0.03,2022-05-29
9392,Opolskie,1,0.01,2022-05-29
9393,Podkarpackie,2,0.01,2022-05-29
9394,Podlaskie,3,0.03,2022-05-29
9395,Pomorskie,5,0.02,2022-05-29
9396,Śląskie,12,0.03,2022-05-29
9397,Świętokrzyskie,13,0.11,2022-05-29
9398,Warmińsko-mazurskie,3,0.02,2022-05-29
9399,Wielkopolskie,5,0.01,2022-05-29
9400,Zachodniopomorskie,1,0.01,2022-05-29
9401,Cały kraj,346,0.09,2022-05-30
9402,Dolnośląskie,25,0.09,2022-05-30
9403,Kujawsko-pomorskie,12,0.06,2022-05-30
9404,Lubelskie,18,0.09,2022-05-30
9405,Lubuskie,3,0.03,2022-05-30
9406,Łódzkie,26,0.11,2022-05-30
9407,Małopolskie,23,0.07,2022-05-30
9408,Mazowieckie,60,0.11,2022-05-30
9409,Opolskie,9,0.09,2022-05-30
9410,Podkarpackie,33,0.16,2022-05-30
9411,Podlaskie,17,0.14,2022-05-30
9412,Pomorskie,23,0.1,2022-05-30
9413,Śląskie,51,0.11,2022-05-30
9414,Świętokrzyskie,5,0.04,2022-05-30
9415,Warmińsko-mazurskie,4,0.03,2022-05-30
9416,Wielkopolskie,19,0.05,2022-05-30
9417,Zachodniopomorskie,12,0.07,2022-05-30
9418,Cały kraj,256,0.07,2022-05-31
9419,Dolnośląskie,13,0.04,2022-05-31
9420,Kujawsko-pomorskie,5,0.02,2022-05-31
9421,Lubelskie,13,0.06,2022-05-31
9422,Lubuskie,1,0.01,2022-05-31
9423,Łódzkie,17,0.07,2022-05-31
9424,Małopolskie,20,0.06,2022-05-31
9425,Mazowieckie,51,0.09,2022-05-31
9426,Opolskie,8,0.08,2022-05-31
9427,Podkarpackie,14,0.07,2022-05-31
9428,Podlaskie,12,0.1,2022-05-31
9429,Pomorskie,21,0.09,2022-05-31
9430,Śląskie,44,0.1,2022-05-31
9431,Świętokrzyskie,5,0.04,2022-05-31
9432,Warmińsko-mazurskie,9,0.06,2022-05-31
9433,Wielkopolskie,7,0.02,2022-05-31
9434,Zachodniopomorskie,10,0.06,2022-05-31
9435,Cały kraj,220,0.06,2022-06-01
9436,Dolnośląskie,16,0.06,2022-06-01
9437,Kujawsko-pomorskie,6,0.03,2022-06-01
9438,Lubelskie,17,0.08,2022-06-01
9439,Lubuskie,6,0.06,2022-06-01
9440,Łódzkie,11,0.04,2022-06-01
9441,Małopolskie,14,0.04,2022-06-01
9442,Mazowieckie,55,0.1,2022-06-01
9443,Opolskie,1,0.01,2022-06-01
9444,Podkarpackie,8,0.04,2022-06-01
9445,Podlaskie,9,0.08,2022-06-01
9446,Pomorskie,9,0.04,2022-06-01
9447,Śląskie,33,0.07,2022-06-01
9448,Świętokrzyskie,5,0.04,2022-06-01
9449,Warmińsko-mazurskie,4,0.03,2022-06-01
9450,Wielkopolskie,9,0.03,2022-06-01
9451,Zachodniopomorskie,7,0.04,2022-06-01
9452,Cały kraj,236,0.06,2022-06-02
9453,Dolnośląskie,19,0.07,2022-06-02
9454,Kujawsko-pomorskie,3,0.01,2022-06-02
9455,Lubelskie,15,0.07,2022-06-02
9456,Lubuskie,2,0.02,2022-06-02
9457,Łódzkie,10,0.04,2022-06-02
9458,Małopolskie,20,0.06,2022-06-02
9459,Mazowieckie,54,0.1,2022-06-02
9460,Opolskie,2,0.02,2022-06-02
9461,Podkarpackie,11,0.05,2022-06-02
9462,Podlaskie,13,0.11,2022-06-02
9463,Pomorskie,14,0.06,2022-06-02
9464,Śląskie,31,0.07,2022-06-02
9465,Świętokrzyskie,3,0.02,2022-06-02
9466,Warmińsko-mazurskie,7,0.05,2022-06-02
9467,Wielkopolskie,18,0.05,2022-06-02
9468,Zachodniopomorskie,6,0.04,2022-06-02
9469,Cały kraj,254,0.07,2022-06-03
9470,Dolnośląskie,14,0.05,2022-06-03
9471,Kujawsko-pomorskie,5,0.02,2022-06-03
9472,Lubelskie,14,0.07,2022-06-03
9473,Lubuskie,2,0.02,2022-06-03
9474,Łódzkie,12,0.05,2022-06-03
9475,Małopolskie,15,0.04,2022-06-03
9476,Mazowieckie,41,0.08,2022-06-03
9477,Opolskie,6,0.06,2022-06-03
9478,Podkarpackie,12,0.06,2022-06-03
9479,Podlaskie,6,0.05,2022-06-03
9480,Pomorskie,34,0.14,2022-06-03
9481,Śląskie,39,0.09,2022-06-03
9482,Świętokrzyskie,9,0.07,2022-06-03
9483,Warmińsko-mazurskie,9,0.06,2022-06-03
9484,Wielkopolskie,15,0.04,2022-06-03
9485,Zachodniopomorskie,11,0.06,2022-06-03
9486,Cały kraj,62,0.02,2022-06-04
9487,Dolnośląskie,4,0.01,2022-06-04
9488,Kujawsko-pomorskie,2,0.01,2022-06-04
9489,Lubelskie,2,0.01,2022-06-04
9490,Lubuskie,0,0.0,2022-06-04
9491,Łódzkie,3,0.01,2022-06-04
9492,Małopolskie,7,0.02,2022-06-04
9493,Mazowieckie,11,0.02,2022-06-04
9494,Opolskie,1,0.01,2022-06-04
9495,Podkarpackie,4,0.02,2022-06-04
9496,Podlaskie,3,0.03,2022-06-04
9497,Pomorskie,1,0.0,2022-06-04
9498,Śląskie,6,0.01,2022-06-04
9499,Świętokrzyskie,1,0.01,2022-06-04
9500,Warmińsko-mazurskie,4,0.03,2022-06-04
9501,Wielkopolskie,3,0.01,2022-06-04
9502,Zachodniopomorskie,0,0.0,2022-06-04
9503,Cały kraj,53,0.01,2022-06-05
9504,Dolnośląskie,0,0.0,2022-06-05
9505,Kujawsko-pomorskie,0,0.0,2022-06-05
9506,Lubelskie,0,0.0,2022-06-05
9507,Lubuskie,0,0.0,2022-06-05
9508,Łódzkie,2,0.01,2022-06-05
9509,Małopolskie,1,0.0,2022-06-05
9510,Mazowieckie,16,0.03,2022-06-05
9511,Opolskie,2,0.02,2022-06-05
9512,Podkarpackie,5,0.02,2022-06-05
9513,Podlaskie,3,0.03,2022-06-05
9514,Pomorskie,1,0.0,2022-06-05
9515,Śląskie,10,0.02,2022-06-05
9516,Świętokrzyskie,0,0.0,2022-06-05
9517,Warmińsko-mazurskie,3,0.02,2022-06-05
9518,Wielkopolskie,3,0.01,2022-06-05
9519,Zachodniopomorskie,2,0.01,2022-06-05
9520,Cały kraj,339,0.09,2022-06-06
9521,Dolnośląskie,34,0.12,2022-06-06
9522,Kujawsko-pomorskie,18,0.09,2022-06-06
9523,Lubelskie,13,0.06,2022-06-06
9524,Lubuskie,6,0.06,2022-06-06
9525,Łódzkie,21,0.09,2022-06-06
9526,Małopolskie,32,0.09,2022-06-06
9527,Mazowieckie,54,0.1,2022-06-06
9528,Opolskie,7,0.07,2022-06-06
9529,Podkarpackie,15,0.07,2022-06-06
9530,Podlaskie,11,0.09,2022-06-06
9531,Pomorskie,30,0.13,2022-06-06
9532,Śląskie,50,0.11,2022-06-06
9533,Świętokrzyskie,15,0.12,2022-06-06
9534,Warmińsko-mazurskie,1,0.01,2022-06-06
9535,Wielkopolskie,18,0.05,2022-06-06
9536,Zachodniopomorskie,3,0.02,2022-06-06
9537,Cały kraj,204,0.05,2022-06-07
9538,Dolnośląskie,10,0.03,2022-06-07
9539,Kujawsko-pomorskie,10,0.05,2022-06-07
9540,Lubelskie,11,0.05,2022-06-07
9541,Lubuskie,1,0.01,2022-06-07
9542,Łódzkie,15,0.06,2022-06-07
9543,Małopolskie,17,0.05,2022-06-07
9544,Mazowieckie,50,0.09,2022-06-07
9545,Opolskie,8,0.08,2022-06-07
9546,Podkarpackie,6,0.03,2022-06-07
9547,Podlaskie,3,0.03,2022-06-07
9548,Pomorskie,18,0.08,2022-06-07
9549,Śląskie,24,0.05,2022-06-07
9550,Świętokrzyskie,2,0.02,2022-06-07
9551,Warmińsko-mazurskie,8,0.06,2022-06-07
9552,Wielkopolskie,10,0.03,2022-06-07
9553,Zachodniopomorskie,4,0.02,2022-06-07
9554,Cały kraj,274,0.07,2022-06-08
9555,Dolnośląskie,21,0.07,2022-06-08
9556,Kujawsko-pomorskie,12,0.06,2022-06-08
9557,Lubelskie,10,0.05,2022-06-08
9558,Lubuskie,5,0.05,2022-06-08
9559,Łódzkie,11,0.04,2022-06-08
9560,Małopolskie,24,0.07,2022-06-08
9561,Mazowieckie,70,0.13,2022-06-08
9562,Opolskie,5,0.05,2022-06-08
9563,Podkarpackie,13,0.06,2022-06-08
9564,Podlaskie,11,0.09,2022-06-08
9565,Pomorskie,28,0.12,2022-06-08
9566,Śląskie,28,0.06,2022-06-08
9567,Świętokrzyskie,8,0.07,2022-06-08
9568,Warmińsko-mazurskie,8,0.06,2022-06-08
9569,Wielkopolskie,6,0.02,2022-06-08
9570,Zachodniopomorskie,5,0.03,2022-06-08
9571,Cały kraj,247,0.06,2022-06-09
9572,Dolnośląskie,19,0.07,2022-06-09
9573,Kujawsko-pomorskie,15,0.07,2022-06-09
9574,Lubelskie,11,0.05,2022-06-09
9575,Lubuskie,3,0.03,2022-06-09
9576,Łódzkie,16,0.07,2022-06-09
9577,Małopolskie,14,0.04,2022-06-09
9578,Mazowieckie,49,0.09,2022-06-09
9579,Opolskie,3,0.03,2022-06-09
9580,Podkarpackie,10,0.05,2022-06-09
9581,Podlaskie,10,0.08,2022-06-09
9582,Pomorskie,17,0.07,2022-06-09
9583,Śląskie,39,0.09,2022-06-09
9584,Świętokrzyskie,10,0.08,2022-06-09
9585,Warmińsko-mazurskie,2,0.01,2022-06-09
9586,Wielkopolskie,14,0.04,2022-06-09
9587,Zachodniopomorskie,5,0.03,2022-06-09
9588,Cały kraj,263,0.07,2022-06-10
9589,Dolnośląskie,18,0.06,2022-06-10
9590,Kujawsko-pomorskie,12,0.06,2022-06-10
9591,Lubelskie,19,0.09,2022-06-10
9592,Lubuskie,10,0.1,2022-06-10
9593,Łódzkie,20,0.08,2022-06-10
9594,Małopolskie,27,0.08,2022-06-10
9595,Mazowieckie,41,0.08,2022-06-10
9596,Opolskie,8,0.08,2022-06-10
9597,Podkarpackie,12,0.06,2022-06-10
9598,Podlaskie,11,0.09,2022-06-10
9599,Pomorskie,14,0.06,2022-06-10
9600,Śląskie,17,0.04,2022-06-10
9601,Świętokrzyskie,9,0.07,2022-06-10
9602,Warmińsko-mazurskie,1,0.01,2022-06-10
9603,Wielkopolskie,16,0.05,2022-06-10
9604,Zachodniopomorskie,10,0.06,2022-06-10
9605,Cały kraj,56,0.01,2022-06-11
9606,Dolnośląskie,3,0.01,2022-06-11
9607,Kujawsko-pomorskie,0,0.0,2022-06-11
9608,Lubelskie,1,0.0,2022-06-11
9609,Lubuskie,0,0.0,2022-06-11
9610,Łódzkie,3,0.01,2022-06-11
9611,Małopolskie,4,0.01,2022-06-11
9612,Mazowieckie,11,0.02,2022-06-11
9613,Opolskie,1,0.01,2022-06-11
9614,Podkarpackie,2,0.01,2022-06-11
9615,Podlaskie,7,0.06,2022-06-11
9616,Pomorskie,3,0.01,2022-06-11
9617,Śląskie,6,0.01,2022-06-11
9618,Świętokrzyskie,4,0.03,2022-06-11
9619,Warmińsko-mazurskie,0,0.0,2022-06-11
9620,Wielkopolskie,1,0.0,2022-06-11
9621,Zachodniopomorskie,1,0.01,2022-06-11
9622,Cały kraj,45,0.01,2022-06-12
9623,Dolnośląskie,0,0.0,2022-06-12
9624,Kujawsko-pomorskie,0,0.0,2022-06-12
9625,Lubelskie,0,0.0,2022-06-12
9626,Lubuskie,1,0.01,2022-06-12
9627,Łódzkie,1,0.0,2022-06-12
9628,Małopolskie,4,0.01,2022-06-12
9629,Mazowieckie,13,0.02,2022-06-12
9630,Opolskie,1,0.01,2022-06-12
9631,Podkarpackie,1,0.0,2022-06-12
9632,Podlaskie,0,0.0,2022-06-12
9633,Pomorskie,1,0.0,2022-06-12
9634,Śląskie,10,0.02,2022-06-12
9635,Świętokrzyskie,3,0.02,2022-06-12
9636,Warmińsko-mazurskie,0,0.0,2022-06-12
9637,Wielkopolskie,1,0.0,2022-06-12
9638,Zachodniopomorskie,0,0.0,2022-06-12
9639,Cały kraj,321,0.08,2022-06-13
9640,Dolnośląskie,20,0.07,2022-06-13
9641,Kujawsko-pomorskie,11,0.05,2022-06-13
9642,Lubelskie,20,0.1,2022-06-13
9643,Lubuskie,15,0.15,2022-06-13
9644,Łódzkie,14,0.06,2022-06-13
9645,Małopolskie,21,0.06,2022-06-13
9646,Mazowieckie,72,0.13,2022-06-13
9647,Opolskie,11,0.11,2022-06-13
9648,Podkarpackie,15,0.07,2022-06-13
9649,Podlaskie,16,0.14,2022-06-13
9650,Pomorskie,23,0.1,2022-06-13
9651,Śląskie,35,0.08,2022-06-13
9652,Świętokrzyskie,5,0.04,2022-06-13
9653,Warmińsko-mazurskie,5,0.04,2022-06-13
9654,Wielkopolskie,14,0.04,2022-06-13
9655,Zachodniopomorskie,12,0.07,2022-06-13
9656,Cały kraj,234,0.06,2022-06-14
9657,Dolnośląskie,16,0.06,2022-06-14
9658,Kujawsko-pomorskie,7,0.03,2022-06-14
9659,Lubelskie,7,0.03,2022-06-14
9660,Lubuskie,5,0.05,2022-06-14
9661,Łódzkie,17,0.07,2022-06-14
9662,Małopolskie,22,0.06,2022-06-14
9663,Mazowieckie,44,0.08,2022-06-14
9664,Opolskie,6,0.06,2022-06-14
9665,Podkarpackie,7,0.03,2022-06-14
9666,Podlaskie,14,0.12,2022-06-14
9667,Pomorskie,12,0.05,2022-06-14
9668,Śląskie,42,0.09,2022-06-14
9669,Świętokrzyskie,5,0.04,2022-06-14
9670,Warmińsko-mazurskie,4,0.03,2022-06-14
9671,Wielkopolskie,15,0.04,2022-06-14
9672,Zachodniopomorskie,7,0.04,2022-06-14
9673,Cały kraj,228,0.06,2022-06-15
9674,Dolnośląskie,19,0.07,2022-06-15
9675,Kujawsko-pomorskie,13,0.06,2022-06-15
9676,Lubelskie,12,0.06,2022-06-15
9677,Lubuskie,3,0.03,2022-06-15
9678,Łódzkie,8,0.03,2022-06-15
9679,Małopolskie,14,0.04,2022-06-15
9680,Mazowieckie,70,0.13,2022-06-15
9681,Opolskie,5,0.05,2022-06-15
9682,Podkarpackie,3,0.01,2022-06-15
9683,Podlaskie,8,0.07,2022-06-15
9684,Pomorskie,8,0.03,2022-06-15
9685,Śląskie,25,0.06,2022-06-15
9686,Świętokrzyskie,5,0.04,2022-06-15
9687,Warmińsko-mazurskie,2,0.01,2022-06-15
9688,Wielkopolskie,13,0.04,2022-06-15
9689,Zachodniopomorskie,8,0.05,2022-06-15
9690,Cały kraj,48,0.01,2022-06-16
9691,Dolnośląskie,1,0.0,2022-06-16
9692,Kujawsko-pomorskie,3,0.01,2022-06-16
9693,Lubelskie,2,0.01,2022-06-16
9694,Lubuskie,0,0.0,2022-06-16
9695,Łódzkie,4,0.02,2022-06-16
9696,Małopolskie,5,0.01,2022-06-16
9697,Mazowieckie,9,0.02,2022-06-16
9698,Opolskie,0,0.0,2022-06-16
9699,Podkarpackie,3,0.01,2022-06-16
9700,Podlaskie,1,0.01,2022-06-16
9701,Pomorskie,2,0.01,2022-06-16
9702,Śląskie,4,0.01,2022-06-16
9703,Świętokrzyskie,0,0.0,2022-06-16
9704,Warmińsko-mazurskie,0,0.0,2022-06-16
9705,Wielkopolskie,5,0.01,2022-06-16
9706,Zachodniopomorskie,1,0.01,2022-06-16
9707,Cały kraj,255,0.07,2022-06-17
9708,Dolnośląskie,7,0.02,2022-06-17
9709,Kujawsko-pomorskie,6,0.03,2022-06-17
9710,Lubelskie,23,0.11,2022-06-17
9711,Lubuskie,5,0.05,2022-06-17
9712,Łódzkie,13,0.05,2022-06-17
9713,Małopolskie,29,0.08,2022-06-17
9714,Mazowieckie,54,0.1,2022-06-17
9715,Opolskie,6,0.06,2022-06-17
9716,Podkarpackie,16,0.08,2022-06-17
9717,Podlaskie,7,0.06,2022-06-17
9718,Pomorskie,15,0.06,2022-06-17
9719,Śląskie,43,0.1,2022-06-17
9720,Świętokrzyskie,2,0.02,2022-06-17
9721,Warmińsko-mazurskie,3,0.02,2022-06-17
9722,Wielkopolskie,13,0.04,2022-06-17
9723,Zachodniopomorskie,9,0.05,2022-06-17
9724,Cały kraj,65,0.02,2022-06-18
9725,Dolnośląskie,7,0.02,2022-06-18
9726,Kujawsko-pomorskie,1,0.0,2022-06-18
9727,Lubelskie,0,0.0,2022-06-18
9728,Lubuskie,1,0.01,2022-06-18
9729,Łódzkie,1,0.0,2022-06-18
9730,Małopolskie,7,0.02,2022-06-18
9731,Mazowieckie,18,0.03,2022-06-18
9732,Opolskie,2,0.02,2022-06-18
9733,Podkarpackie,2,0.01,2022-06-18
9734,Podlaskie,1,0.01,2022-06-18
9735,Pomorskie,6,0.03,2022-06-18
9736,Śląskie,8,0.02,2022-06-18
9737,Świętokrzyskie,3,0.02,2022-06-18
9738,Warmińsko-mazurskie,1,0.01,2022-06-18
9739,Wielkopolskie,1,0.0,2022-06-18
9740,Zachodniopomorskie,1,0.01,2022-06-18
9741,Cały kraj,47,0.01,2022-06-19
9742,Dolnośląskie,4,0.01,2022-06-19
9743,Kujawsko-pomorskie,5,0.02,2022-06-19
9744,Lubelskie,2,0.01,2022-06-19
9745,Lubuskie,0,0.0,2022-06-19
9746,Łódzkie,5,0.02,2022-06-19
9747,Małopolskie,4,0.01,2022-06-19
9748,Mazowieckie,9,0.02,2022-06-19
9749,Opolskie,2,0.02,2022-06-19
9750,Podkarpackie,2,0.01,2022-06-19
9751,Podlaskie,0,0.0,2022-06-19
9752,Pomorskie,3,0.01,2022-06-19
9753,Śląskie,6,0.01,2022-06-19
9754,Świętokrzyskie,2,0.02,2022-06-19
9755,Warmińsko-mazurskie,0,0.0,2022-06-19
9756,Wielkopolskie,1,0.0,2022-06-19
9757,Zachodniopomorskie,1,0.01,2022-06-19
9758,Cały kraj,374,0.1,2022-06-20
9759,Dolnośląskie,37,0.13,2022-06-20
9760,Kujawsko-pomorskie,15,0.07,2022-06-20
9761,Lubelskie,21,0.1,2022-06-20
9762,Lubuskie,8,0.08,2022-06-20
9763,Łódzkie,24,0.1,2022-06-20
9764,Małopolskie,37,0.11,2022-06-20
9765,Mazowieckie,79,0.15,2022-06-20
9766,Opolskie,6,0.06,2022-06-20
9767,Podkarpackie,18,0.08,2022-06-20
9768,Podlaskie,14,0.12,2022-06-20
9769,Pomorskie,18,0.08,2022-06-20
9770,Śląskie,37,0.08,2022-06-20
9771,Świętokrzyskie,12,0.1,2022-06-20
9772,Warmińsko-mazurskie,6,0.04,2022-06-20
9773,Wielkopolskie,21,0.06,2022-06-20
9774,Zachodniopomorskie,10,0.06,2022-06-20
9775,Cały kraj,324,0.08,2022-06-21
9776,Dolnośląskie,25,0.09,2022-06-21
9777,Kujawsko-pomorskie,8,0.04,2022-06-21
9778,Lubelskie,5,0.02,2022-06-21
9779,Lubuskie,4,0.04,2022-06-21
9780,Łódzkie,12,0.05,2022-06-21
9781,Małopolskie,33,0.1,2022-06-21
9782,Mazowieckie,77,0.14,2022-06-21
9783,Opolskie,11,0.11,2022-06-21
9784,Podkarpackie,5,0.02,2022-06-21
9785,Podlaskie,10,0.08,2022-06-21
9786,Pomorskie,17,0.07,2022-06-21
9787,Śląskie,52,0.12,2022-06-21
9788,Świętokrzyskie,11,0.09,2022-06-21
9789,Warmińsko-mazurskie,6,0.04,2022-06-21
9790,Wielkopolskie,21,0.06,2022-06-21
9791,Zachodniopomorskie,9,0.05,2022-06-21
9792,Cały kraj,306,0.08,2022-06-22
9793,Dolnośląskie,20,0.07,2022-06-22
9794,Kujawsko-pomorskie,15,0.07,2022-06-22
9795,Lubelskie,13,0.06,2022-06-22
9796,Lubuskie,2,0.02,2022-06-22
9797,Łódzkie,21,0.09,2022-06-22
9798,Małopolskie,24,0.07,2022-06-22
9799,Mazowieckie,65,0.12,2022-06-22
9800,Opolskie,9,0.09,2022-06-22
9801,Podkarpackie,12,0.06,2022-06-22
9802,Podlaskie,8,0.07,2022-06-22
9803,Pomorskie,19,0.08,2022-06-22
9804,Śląskie,32,0.07,2022-06-22
9805,Świętokrzyskie,16,0.13,2022-06-22
9806,Warmińsko-mazurskie,5,0.04,2022-06-22
9807,Wielkopolskie,29,0.08,2022-06-22
9808,Zachodniopomorskie,8,0.05,2022-06-22
9809,Cały kraj,348,0.09,2022-06-23
9810,Dolnośląskie,29,0.1,2022-06-23
9811,Kujawsko-pomorskie,18,0.09,2022-06-23
9812,Lubelskie,18,0.09,2022-06-23
9813,Lubuskie,3,0.03,2022-06-23
9814,Łódzkie,20,0.08,2022-06-23
9815,Małopolskie,31,0.09,2022-06-23
9816,Mazowieckie,64,0.12,2022-06-23
9817,Opolskie,10,0.1,2022-06-23
9818,Podkarpackie,9,0.04,2022-06-23
9819,Podlaskie,11,0.09,2022-06-23
9820,Pomorskie,27,0.12,2022-06-23
9821,Śląskie,45,0.1,2022-06-23
9822,Świętokrzyskie,12,0.1,2022-06-23
9823,Warmińsko-mazurskie,8,0.06,2022-06-23
9824,Wielkopolskie,17,0.05,2022-06-23
9825,Zachodniopomorskie,3,0.02,2022-06-23
9826,Cały kraj,344,0.09,2022-06-24
9827,Dolnośląskie,32,0.11,2022-06-24
9828,Kujawsko-pomorskie,19,0.09,2022-06-24
9829,Lubelskie,13,0.06,2022-06-24
9830,Lubuskie,3,0.03,2022-06-24
9831,Łódzkie,22,0.09,2022-06-24
9832,Małopolskie,44,0.13,2022-06-24
9833,Mazowieckie,78,0.14,2022-06-24
9834,Opolskie,7,0.07,2022-06-24
9835,Podkarpackie,9,0.04,2022-06-24
9836,Podlaskie,8,0.07,2022-06-24
9837,Pomorskie,17,0.07,2022-06-24
9838,Śląskie,35,0.08,2022-06-24
9839,Świętokrzyskie,5,0.04,2022-06-24
9840,Warmińsko-mazurskie,10,0.07,2022-06-24
9841,Wielkopolskie,20,0.06,2022-06-24
9842,Zachodniopomorskie,9,0.05,2022-06-24
9843,Cały kraj,97,0.03,2022-06-25
9844,Dolnośląskie,5,0.02,2022-06-25
9845,Kujawsko-pomorskie,4,0.02,2022-06-25
9846,Lubelskie,5,0.02,2022-06-25
9847,Lubuskie,1,0.01,2022-06-25
9848,Łódzkie,9,0.04,2022-06-25
9849,Małopolskie,8,0.02,2022-06-25
9850,Mazowieckie,30,0.06,2022-06-25
9851,Opolskie,2,0.02,2022-06-25
9852,Podkarpackie,3,0.01,2022-06-25
9853,Podlaskie,2,0.02,2022-06-25
9854,Pomorskie,4,0.02,2022-06-25
9855,Śląskie,9,0.02,2022-06-25
9856,Świętokrzyskie,3,0.02,2022-06-25
9857,Warmińsko-mazurskie,0,0.0,2022-06-25
9858,Wielkopolskie,4,0.01,2022-06-25
9859,Zachodniopomorskie,1,0.01,2022-06-25
9860,Cały kraj,88,0.02,2022-06-26
9861,Dolnośląskie,2,0.01,2022-06-26
9862,Kujawsko-pomorskie,3,0.01,2022-06-26
9863,Lubelskie,3,0.01,2022-06-26
9864,Lubuskie,1,0.01,2022-06-26
9865,Łódzkie,7,0.03,2022-06-26
9866,Małopolskie,4,0.01,2022-06-26
9867,Mazowieckie,23,0.04,2022-06-26
9868,Opolskie,3,0.03,2022-06-26
9869,Podkarpackie,3,0.01,2022-06-26
9870,Podlaskie,1,0.01,2022-06-26
9871,Pomorskie,5,0.02,2022-06-26
9872,Śląskie,10,0.02,2022-06-26
9873,Świętokrzyskie,4,0.03,2022-06-26
9874,Warmińsko-mazurskie,2,0.01,2022-06-26
9875,Wielkopolskie,9,0.03,2022-06-26
9876,Zachodniopomorskie,4,0.02,2022-06-26
9877,Cały kraj,696,0.18,2022-06-27
9878,Dolnośląskie,58,0.2,2022-06-27
9879,Kujawsko-pomorskie,32,0.15,2022-06-27
9880,Lubelskie,21,0.1,2022-06-27
9881,Lubuskie,18,0.18,2022-06-27
9882,Łódzkie,39,0.16,2022-06-27
9883,Małopolskie,63,0.18,2022-06-27
9884,Mazowieckie,159,0.29,2022-06-27
9885,Opolskie,13,0.13,2022-06-27
9886,Podkarpackie,23,0.11,2022-06-27
9887,Podlaskie,15,0.13,2022-06-27
9888,Pomorskie,39,0.17,2022-06-27
9889,Śląskie,72,0.16,2022-06-27
9890,Świętokrzyskie,31,0.25,2022-06-27
9891,Warmińsko-mazurskie,14,0.1,2022-06-27
9892,Wielkopolskie,40,0.11,2022-06-27
9893,Zachodniopomorskie,38,0.22,2022-06-27
9894,Cały kraj,545,0.14,2022-06-28
9895,Dolnośląskie,28,0.1,2022-06-28
9896,Kujawsko-pomorskie,29,0.14,2022-06-28
9897,Lubelskie,34,0.16,2022-06-28
9898,Lubuskie,18,0.18,2022-06-28
9899,Łódzkie,21,0.09,2022-06-28
9900,Małopolskie,56,0.16,2022-06-28
9901,Mazowieckie,123,0.23,2022-06-28
9902,Opolskie,14,0.14,2022-06-28
9903,Podkarpackie,11,0.05,2022-06-28
9904,Podlaskie,11,0.09,2022-06-28
9905,Pomorskie,34,0.14,2022-06-28
9906,Śląskie,68,0.15,2022-06-28
9907,Świętokrzyskie,14,0.11,2022-06-28
9908,Warmińsko-mazurskie,10,0.07,2022-06-28
