,region,number_of_cases,number_of_cases_for_10k,date
485,Podkarpackie,224,1.05,2020-12-21
486,Podlaskie,176,1.5,2020-12-21
487,Pomorskie,708,3.02,2020-12-21
488,Śląskie,721,1.6,2020-12-21
489,Świętokrzyskie,151,1.23,2020-12-21
490,Warmińsko-mazurskie,586,4.13,2020-12-21
491,Wielkopolskie,584,1.67,2020-12-21
492,Zachodniopomorskie,396,2.34,2020-12-21
493,Cały kraj,12363,3.22,2020-12-22
494,Dolnośląskie,601,2.07,2020-12-22
495,Kujawsko-pomorskie,1211,5.85,2020-12-22
496,Lubelskie,573,2.72,2020-12-22
497,Lubuskie,367,3.63,2020-12-22
498,Łódzkie,864,3.53,2020-12-22
499,Małopolskie,528,1.55,2020-12-22
500,Mazowieckie,1524,2.81,2020-12-22
501,Opolskie,247,2.52,2020-12-22
502,Podkarpackie,224,1.05,2020-12-22
503,Podlaskie,330,2.8,2020-12-22
504,Pomorskie,974,4.15,2020-12-22
505,Śląskie,1274,2.83,2020-12-22
506,Świętokrzyskie,165,1.34,2020-12-22
507,Warmińsko-mazurskie,986,6.94,2020-12-22
508,Wielkopolskie,1400,4.0,2020-12-22
509,Zachodniopomorskie,993,5.86,2020-12-22
510,Cały kraj,13114,3.42,2020-12-23
511,Dolnośląskie,742,2.56,2020-12-23
512,Kujawsko-pomorskie,1312,6.34,2020-12-23
513,Lubelskie,597,2.84,2020-12-23
514,Lubuskie,399,3.95,2020-12-23
515,Łódzkie,950,3.88,2020-12-23
516,Małopolskie,410,1.2,2020-12-23
517,Mazowieckie,1829,3.37,2020-12-23
518,Opolskie,280,2.85,2020-12-23
519,Podkarpackie,288,1.35,2020-12-23
520,Podlaskie,325,2.76,2020-12-23
521,Pomorskie,1108,4.72,2020-12-23
522,Śląskie,1002,2.22,2020-12-23
523,Świętokrzyskie,165,1.34,2020-12-23
524,Warmińsko-mazurskie,838,5.9,2020-12-23
525,Wielkopolskie,1608,4.59,2020-12-23
526,Zachodniopomorskie,1006,5.94,2020-12-23
527,Cały kraj,9077,2.37,2020-12-24
528,Dolnośląskie,474,1.64,2020-12-24
529,Kujawsko-pomorskie,767,3.71,2020-12-24
530,Lubelskie,357,1.7,2020-12-24
531,Lubuskie,351,3.47,2020-12-24
532,Łódzkie,739,3.02,2020-12-24
533,Małopolskie,210,0.62,2020-12-24
534,Mazowieckie,1166,2.15,2020-12-24
535,Opolskie,258,2.63,2020-12-24
536,Podkarpackie,212,1.0,2020-12-24
537,Podlaskie,242,2.06,2020-12-24
538,Pomorskie,666,2.84,2020-12-24
539,Śląskie,695,1.54,2020-12-24
540,Świętokrzyskie,89,0.72,2020-12-24
541,Warmińsko-mazurskie,607,4.27,2020-12-24
542,Wielkopolskie,1045,2.99,2020-12-24
543,Zachodniopomorskie,990,5.85,2020-12-24
544,Cały kraj,5048,1.32,2020-12-25
545,Dolnośląskie,219,0.76,2020-12-25
546,Kujawsko-pomorskie,472,2.28,2020-12-25
547,Lubelskie,268,1.27,2020-12-25
548,Lubuskie,111,1.1,2020-12-25
549,Łódzkie,280,1.14,2020-12-25
550,Małopolskie,169,0.5,2020-12-25
551,Mazowieckie,741,1.37,2020-12-25
552,Opolskie,97,0.99,2020-12-25
553,Podkarpackie,132,0.62,2020-12-25
554,Podlaskie,115,0.98,2020-12-25
555,Pomorskie,487,2.08,2020-12-25
556,Śląskie,285,0.63,2020-12-25
557,Świętokrzyskie,82,0.67,2020-12-25
558,Warmińsko-mazurskie,315,2.22,2020-12-25
559,Wielkopolskie,518,1.48,2020-12-25
560,Zachodniopomorskie,557,3.29,2020-12-25
561,Cały kraj,3678,0.96,2020-12-26
562,Dolnośląskie,153,0.53,2020-12-26
563,Kujawsko-pomorskie,326,1.58,2020-12-26
564,Lubelskie,103,0.49,2020-12-26
565,Lubuskie,65,0.64,2020-12-26
566,Łódzkie,199,0.81,2020-12-26
567,Małopolskie,115,0.34,2020-12-26
568,Mazowieckie,532,0.98,2020-12-26
569,Opolskie,99,1.01,2020-12-26
570,Podkarpackie,68,0.32,2020-12-26
571,Podlaskie,93,0.79,2020-12-26
572,Pomorskie,536,2.28,2020-12-26
573,Śląskie,279,0.62,2020-12-26
574,Świętokrzyskie,51,0.41,2020-12-26
575,Warmińsko-mazurskie,188,1.32,2020-12-26
576,Wielkopolskie,387,1.11,2020-12-26
577,Zachodniopomorskie,270,1.59,2020-12-26
578,Cały kraj,3211,0.84,2020-12-27
